,fire_index,Temp_pre_15,Wind_pre_15,Hum_pre_15
330,1635,7.305829596000001,3.378475336,60.23809524
331,1639,26.07342007,5.841116279,48.86697674
332,1642,23.95619758,2.544361603,62.55780347
333,1643,23.30822281,2.154255319,36.52150538
334,1650,10.51396648,2.910335196,65.47058824
335,1664,23.55328467,3.472262774,71.98783455
336,1669,25.56321839,3.764367816,38.68965517
337,1673,12.33835227,1.976704545,62.55965909
338,1677,25.82407407,2.086111111,59.37071651
339,1688,11.91821561,3.530018587,46.66791745
340,1694,26.11608655,1.820319849,80.70366886
341,1707,26.32527778,4.353055556,27.55277778
342,1710,10.83545455,1.6530303030000002,56.01223242
343,1711,13.1084494,1.5551532030000002,66.68411037
344,1713,10.11782609,2.082173913,68.31395349
345,1714,2.057968476,3.491768827,76.7251773
346,1717,8.33164557,3.066497462,69.96256684
347,1718,19.33333333,3.603333333,35.86666667
348,1719,26.06694444,4.626111111,69.91666667
349,1731,9.783333333,2.1175,60.07777778
350,1737,3.650763359,3.434732824,54.17557252
351,1754,15.31804281,4.094656489,46.61685824
352,1755,12.9505848,4.042982456,58.93567251
353,1761,9.621621622,2.446784716,65.01842752
354,1772,19.47368421,5.721052632,44.96808511
355,1776,7.681548975,2.704783599,65.8405467
356,1791,6.837535014,5.802292264,62.32786885
357,1792,9.57962963,2.158796296,67.74759615
358,1794,28.39334027,1.517689906,67.97346072
359,1795,28.05126582,5.680379747000001,77.20851064
360,1797,30.36585366,3.660492611000001,60.03343465
361,1801,5.433913043,4.090217391,67.40087146
362,1802,28.14638889,2.7284122560000004,62.53481894
363,1818,26.82,3.730088496,16.22566372
364,1821,3.0333333330000003,3.822222222,75.68333333
365,1834,6.9684931510000006,3.140078585,51.00744417
