fire_id,km_class7,km_class15,km_class30,km_pca_class7,km_pca_class15,km_pca_class30,hc_class7,hc_class15,hc_class30,km_scaled_class7,km_scaled_class15,km_scaled_class30
16384,0,3,0,1,1,0,2,0,0,2,0,0
16387,2,0,3,2,1,0,0,0,0,0,0,0
16389,2,2,0,0,1,0,1,1,0,1,1,0
16390,0,0,3,1,0,2,0,2,0,0,2,0
16393,2,0,3,2,1,0,0,0,0,0,0,0
16394,2,1,1,0,2,1,2,1,1,2,1,1
16397,2,0,3,2,0,2,0,2,0,0,2,0
16405,2,0,3,2,1,0,0,0,0,0,0,0
16409,1,1,1,0,2,1,1,1,1,1,1,1
16415,0,3,0,2,1,0,0,0,0,0,0,0
16420,2,3,0,2,1,0,0,0,0,0,0,0
16426,0,0,3,2,1,0,0,0,0,0,0,0
16429,2,2,1,0,2,1,2,1,1,2,1,1
16440,0,0,3,2,1,0,2,0,0,2,0,0
16454,0,3,0,2,1,0,0,0,0,0,0,0
16456,1,1,1,0,2,1,1,1,1,1,1,1
16457,0,3,0,2,1,0,0,0,0,0,0,0
16459,2,2,2,2,1,0,0,0,0,0,0,0
16461,2,2,0,2,1,0,0,0,0,0,0,0
16465,0,0,3,1,0,2,0,2,0,0,2,0
16468,2,0,2,0,0,2,1,2,2,1,2,2
16483,2,2,2,0,1,0,1,0,1,1,0,1
16491,1,1,1,0,2,1,1,1,1,1,1,1
16493,2,0,3,1,0,2,2,2,2,2,2,2
16505,0,0,3,1,0,2,0,2,2,0,2,2
16508,0,3,3,1,1,0,2,0,0,2,0,0
16512,0,3,0,2,1,0,0,0,0,0,0,0
16513,2,2,3,1,0,2,2,2,2,2,2,2
16514,0,0,3,1,0,2,2,2,2,2,2,2
16521,2,2,2,2,0,0,0,2,1,0,2,1
16526,2,0,3,2,1,0,0,0,0,0,0,0
16530,0,0,3,1,0,2,2,2,2,2,2,2
16532,1,1,1,0,2,1,1,1,1,1,1,1
16543,2,0,3,2,0,2,0,2,0,0,2,0
16545,0,3,0,2,1,0,0,0,0,0,0,0
16550,2,0,3,1,0,2,2,2,2,2,2,2
16555,0,3,0,2,1,0,0,0,0,0,0,0
16558,0,0,3,1,0,2,2,2,2,2,2,2
16566,0,2,2,2,1,0,2,0,1,2,0,1
16569,2,2,2,0,2,1,2,1,1,2,1,1
16573,0,3,0,2,1,0,0,0,0,0,0,0
16577,0,3,0,1,0,0,2,0,0,2,0,0
16579,0,3,0,2,1,0,0,0,0,0,0,0
16580,2,2,2,2,1,1,0,0,1,0,0,1
16581,2,0,3,1,0,2,2,2,2,2,2,2
16585,2,0,3,1,1,0,2,0,0,2,0,0
16587,2,0,3,1,0,2,2,2,2,2,2,2
16588,0,0,3,1,0,2,2,2,0,2,2,0
16589,0,0,3,2,1,0,0,0,0,0,0,0
16592,2,3,0,2,1,2,0,0,1,0,0,1
16600,0,0,3,1,0,2,2,2,2,2,2,2
16601,1,1,1,0,2,1,1,1,1,1,1,1
16602,0,0,3,1,0,2,2,2,2,2,2,2
16607,2,2,0,0,2,0,0,1,0,0,1,0
16613,2,0,3,2,0,2,1,2,0,1,2,0
16614,0,3,0,2,1,0,0,0,0,0,0,0
16616,2,2,1,1,0,1,2,1,1,2,1,1
16620,0,3,0,1,1,2,0,2,0,0,2,0
16627,0,3,0,2,1,0,0,0,0,0,0,0
16628,2,2,2,0,2,0,0,0,0,0,0,0
16637,0,0,3,1,0,2,0,2,2,0,2,2
16638,0,3,0,1,1,0,2,0,0,2,0,0
16642,0,3,0,2,1,0,0,0,0,0,0,0
16644,2,0,3,1,0,2,2,2,2,2,2,2
16651,0,3,0,2,1,0,2,0,0,2,0,0
16656,2,3,0,2,1,0,0,0,0,0,0,0
16664,0,3,0,1,1,0,2,0,0,2,0,0
16683,0,0,3,1,0,2,0,2,2,0,2,2
16688,0,3,0,2,1,0,0,0,0,0,0,0
16694,1,1,1,0,2,1,1,1,1,1,1,1
16695,2,2,0,2,1,0,2,0,1,2,0,1
16697,2,0,3,1,0,2,2,2,2,2,2,2
