,fire_name,discovery_month,putout_time,year
1985,FOWLER CREEK,May,10,2008
1986,DENNY,Mar,0,1996
1988,FY2002-BULLOCH-137,May,0,2002
1989,FAIRVIEW,May,0,2010
1994,TOWNHALL,Apr,0,2013
1997,BARNES FIRE,Mar,0,2011
1999,7055,Jul,0,2013
2000,ALCHESAY,Aug,0,1996
2005,RIVERA,May,11,2010
2012,TUTON,Jul,0,2002
2014,WOHLFORD 3,Jul,0,2009
2015,17CALIBER,Apr,0,2012
2019,1191,Feb,0,2015
2023,JENKINS FORK #2,Apr,0,2013
2026,R7,Mar,0,1995
2027,2NDCHANCE,Oct,0,2003
2028,FY2013-PIERCE-004,Jan,0,2013
2032,FY2012-BULLOCH-044,Feb,0,2012
2056,30157,Mar,0,2011
2059,HOTSPRINGS,Apr,0,1996
2061,SCHOLHOUSE,Jan,1,1992
2077,CENTURY,Oct,0,2008
2089,TOAD,Aug,63,2007
2101,JIM CREEK,Feb,0,2015
2103,FIVE STAR,Mar,0,2012
2108,HENDERSON - 068,Feb,0,2009
2118,LMU LGT 56,Aug,0,1999
2119,SUNDANCE,Jun,0,2001
2122,GARCIA 2,Sep,6,1998
2124,SHELL,Jul,2,1998
2125,W.PRYORS,Jul,2,1996
2126,LOVE CEM. RD.,Nov,0,2013
2128,4.72014E+12,Jul,0,2014
2129,BALL HILL,Mar,0,2007
2131,CR 392 (07),Mar,0,2012
2135,RL036,Apr,0,2008
2138,KENTON,May,2,2005
2143,HAZ HOGS,Feb,0,2012
2157,BLACK CREEK,Mar,1,2005
2159,HORSESHOE LAKE,Sep,0,2009
2168,AIRPORT 1,Jul,0,2014
2170,THIRTY,Jun,0,2011
2184,TWO FINGER,Mar,0,1995
2195,PARKER CANYON,May,0,2007
2202,20126,Jul,0,2012
2203,05-02-NOV/MORRIS FIRE-1807,Dec,0,2010
2205,HAMPTON 5 (53),May,0,2013
2213,RUBY,Jun,1,2007
2227,CUTTING TORCH FIRE,Apr,0,2007
2231,SLASH,Aug,1,2013
2232,RL037,Apr,0,2004
2234,PINE WOOD (5),Oct,0,2010
2235,RL 337,Apr,0,2015
2238,HWY. 157,Mar,0,2010
2243,EL MIRAGE,Aug,0,2005
2248,FFS 136/ 184 WF,Mar,0,2015
2256,LAWN CHAIR,Feb,0,2011
2260,NO ACCESS,May,0,2000
2261,CEDAR CANYON,Mar,0,2007
2268,SPAR PEAK,Jul,0,1994
2270,COUNTY LINE,Jul,0,2011
2273,NORTHCINDR,Jul,1,2000
2292,TREE,Mar,0,1999
2300,CALPAC4,Jul,0,1999
2301,415 POWERLINES (64),Jul,0,2015
2302,LOUISIANA MAN,Nov,3,1999
2304,FY2000-GORDON-066,Mar,0,2000
2317,ORGAN,Jun,18,1994
2326,POTTER 2,Jul,0,1997
2327,WHITE,Apr,0,2001
2328,IRON HAWK,Mar,0,2008
2329,COOPERS CR.,May,1,2008
2336,25 MILE II,Jul,118,2013
2354,RND BALE 2,Aug,0,1995
2355,(MA) ROSEMARY ONE (433),Jul,0,2010
2357,NE 30136,Mar,0,2010
2360,7059,Nov,0,2014
2362,COOPER CREEK,Sep,0,1996
2363,VAN10310565,Mar,0,2014
2368,ARMIGO,Aug,2,2000
2371,WNA 19,Sep,0,2011
2374,77TH RD(61),Jan,0,2012
2378,LINDEN - 6147,Jul,0,2012
2391,FLARE,Feb,0,1993
2407,MOSS SPRINGS,Jul,4,2006
2436,POWERLINES,Jul,4,2005
2440,INVERNESS (26),Oct,0,2013
2443,REFUSED FIRE,Mar,0,2008
2445,PRIVATE FARM RD,Jul,1,1999
2449,STILES COMPLEX,Mar,2,2008
2453,FY2000-MILLER-047,Feb,0,2000
2458,LONG BRANCH,Apr,0,1996
2470,FY2001-DECATUR-053,Feb,0,2001
2471,FY2002-FLOYD-044,Nov,0,2001
2474,CACHE,Sep,4,2007
2477,MOSS BUFF 18,Feb,0,2000
2478,BUNYARD,Oct,1,2009
2488,MOSELEY MOUNTAIN FIRE,May,0,2014
2492,JOHN DEERE,Aug,0,2005
2496,MACK LAKE,May,0,1998
2499,EJ RANCH,Jul,2,2011
2500,S5WEST BOUINK MTN,Nov,0,2009
2501,OAK II,Oct,0,1996
2513,TALLULAH RIVER #3,Mar,2,2007
2516,CARIBOU,May,0,1993
2521,LITTLE SAL,Aug,2,1994
2527,NEVADA.,Jul,0,2003
2533,FLATIRON,Jun,0,1995
2534,LILLIAN,Apr,0,2006
2546,ROLLOVER CREEK,Feb,0,2011
2547,LONG POND,Feb,0,2008
2553,DUNN,Mar,0,2012
2558,DUMP,Jan,0,2003
2560,OREO LANE,Apr,0,2012
2563,1058,Oct,0,2015
2569,BARE MT,Jun,59,2015
2570,FY2002-HOUSTON-037,Feb,0,2002
2571,HUNSINGER,Jul,1,1999
2579,COYOTE,Jul,0,2010
2582,LUCY BROOK,Nov,1,2004
2583,RUNNER,Aug,0,2012
2595,OTA 144,Jul,0,2011
2600,FY2012-GRADY-023,Mar,0,2012
2613,VALDEZ FIRE,Jan,0,2015
2615,RIGHT FLAN,Aug,0,2000
2621,A1302056,Apr,0,2002
2622,3RD KENNDEY,Nov,0,2013
2630,GREENBRIAR ESTATES  (55),Apr,0,2012
2641,MINE,Mar,1,2005
