,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
1369,6.0,Accidental,34.03666667,-111.2883333,AZ,Jun,0,1994
1370,2.0,Utilities,31.05277778,-89.18444444,MS,Feb,2,2000
1375,95.0,Lightning,30.75407502,-103.7228986,TX,Aug,0,2011
1376,1.0,Arson,33.932387899999995,-88.1866787,AL,Nov,0,2011
1386,10.0,Utilities,31.05847125,-89.92895612,MS,Feb,0,1995
1393,1077.0,Lightning,45.44222222,-114.5575,ID,Aug,12,2012
1396,2.0,Arson,34.765,-95.88333333,OK,Feb,0,1992
1399,3.0,Accidental,38.4621,-107.8663,CO,Mar,0,2013
1407,4.0,Arson,34.85124287,-88.46385917,MS,May,0,1996
1416,2.0,Debris Burning,45.6894,-97.1606,SD,Apr,0,2001
1423,30.0,Accidental,48.0361,-94.8855,MN,May,0,2009
1430,5.0,Lightning,36.11472222,-105.84166670000002,NM,Jul,1,2008
1432,2.3,Debris Burning,33.316125,-84.54743056,GA,Mar,0,2015
1436,4.0,Arson,30.49633333,-95.34413333,TX,Aug,0,2009
1437,6.08,Arson,33.7788,-85.3301,GA,Jul,0,1993
1441,8330.0,Lightning,26.03333,-81.3,FL,Jun,4,2008
1443,0.54,Utilities,34.8586,-85.053,GA,Jul,0,1993
1451,0.75,Lightning,44.59209786,-73.57234104,NY,Apr,0,2005
1454,6.5,Lightning,42.885,-114.0164,ID,Jul,0,2012
1455,30.0,Debris Burning,47.9722,-98.8726,ND,May,0,1996
1459,7.0,Lightning,29.3822,-82.7936,FL,Aug,0,2011
1466,20.0,Utilities,34.6264,-95.318,OK,Jul,0,2014
1474,2.0,Lightning,36.8728,-108.1854,NM,Jul,0,1996
1489,1.5,Arson,36.86805556,-84.4025,KY,Mar,3,1999
1490,28.0,Utilities,44.8697263,-88.12391024,WI,Apr,0,1994
1494,1.0,Arson,31.50864378,-89.82670329999999,MS,Aug,0,1995
1496,3.0,Debris Burning,47.8797,-94.8908,MN,Apr,0,2003
1504,10.0,Lightning,34.20215,-93.20682,AR,Aug,0,2011
1509,1.0,Arson,34.81073171,-88.23701148,MS,Mar,0,1997
1512,1.0,Debris Burning,30.84941667,-94.75041667,TX,Mar,0,2013
1518,5.6,Utilities,38.7025,-120.5541667,CA,Jun,0,2012
1519,3.5,Arson,33.4735,-111.8174,AZ,Jun,0,2008
1522,0.8,Debris Burning,38.02980904,-82.12238461,WV,Jun,0,2005
1524,1.0,Accidental,41.397363,-72.9222116,CT,Jul,0,2010
1527,1.5,Debris Burning,47.8666,-94.9836,MN,Apr,0,1994
1528,60.0,Debris Burning,34.30333333,-78.32166667,NC,Apr,0,2012
1531,1.0,Arson,36.107690000000005,-108.85778,NM,May,1,2012
1536,75.0,Lightning,46.2739,-108.1459,MT,Aug,0,1998
1539,3.0,Utilities,34.83888889,-76.80666667,NC,Feb,0,2013
1542,1.5,Utilities,34.0945,-109.9229,AZ,Aug,0,2002
1543,1.0,Arson,30.79303333,-93.71521667,TX,Feb,0,2011
1545,5.0,Debris Burning,33.616177,-81.35038,SC,Apr,0,2013
1554,4.0,Arson,35.55502,-93.93016,AR,Jun,0,2012
1564,3.0,Arson,33.3501,-110.434,AZ,Aug,0,1993
1565,2.5,Lightning,36.47333333,-106.245,NM,Aug,0,1995
1566,115.0,Lightning,38.80916667,-116.68194440000002,NV,May,1,2004
1568,5.0,Debris Burning,33.5995656,-87.87323,AL,May,0,2011
1582,1.0,Arson,30.91039297,-89.42626365,MS,May,0,2013
