state,discovery_month,fire_cause,Temp_pre_30,Wind_pre_30,Hum_pre_30,putout_time,fire_size_bin,fire_size_bin_no
KY,Mar,Accidental,2.296614822,2.491674291,65.92571959,0,Mini,3
MS,Mar,Arson,10.18189415,2.424233983,64.21169916,0,Teacup,1
WI,Apr,Debris Burning,9.36328125,5.685826772,61.456,0,Teacup,1
MN,Apr,Accidental,1.392655367,3.477824859,63.13841808,0,Teacup,1
MN,May,Utilities,10.78194444,2.908425926,63.03657407,0,Mini,3
CA,Sep,Utilities,23.15656325,2.711097852,27.95704057,0,Teacup,1
TX,Sep,Lightning,28.01960784,2.153641457,41.88001867,0,Teacup,1
NM,Jul,Lightning,22.59190981,3.877453581,26.66489362,12,Teacup,1
SC,Mar,Debris Burning,12.90327169,2.59383009,66.11466822,0,Teacup,1
ND,Apr,Debris Burning,2.6434426230000003,6.588114753999999,71.71551724,0,Mini,3
NY,May,Accidental,10.59357384,2.9757369610000004,66.13053892,0,Teacup,1
GA,Feb,Debris Burning,3.1545064380000003,2.7337625180000003,66.69318182,0,Teacup,1
GA,Jun,Accidental,23.02108434,2.525,58.04810997,0,Teacup,1
NM,Jun,Lightning,25.29507042,3.800950119,24.12589074,44,Medium,4
UT,Jun,Lightning,16.00929577,3.137183099,54.89295775,0,Teacup,1
GA,Aug,Debris Burning,28.09455128,2.983467095,70.96122779,0,Teacup,1
GA,Oct,Arson,24.30125,2.606111111,62.13333333,0,Teacup,1
ID,Aug,Lightning,23.09,3.5553106210000003,33.01204819,0,Medium,4
MS,Mar,Arson,10.40585774,2.158577406,69.02902208,0,Mini,3
KY,Mar,Accidental,-0.975927388,2.873950911,71.76118211,0,Teacup,1
KY,Sep,Debris Burning,23.21087248,2.907516779,61.28969359,0,Teacup,1
WV,Apr,Utilities,13.02188841,3.17972103,59.57112069,0,Teacup,1
OR,Jul,Lightning,17.53479381,2.741237113,59.50686813,1,Teacup,1
KY,Mar,Arson,3.869444444,3.4181818180000003,65.43489583,2,Teacup,1
KY,Apr,Debris Burning,12.37317518,3.100092081,61.04588015,0,Toy,2
WY,Mar,Debris Burning,3.96400187,3.668396447,46.06080449,0,Medium,4
WI,May,Arson,3.073463687,4.355104895,59.78741259,0,Teacup,1
NC,Nov,Utilities,10.90436006,1.2306610409999998,62.26168224,0,Teacup,1
MS,Feb,Arson,7.791899441,2.595251397,66.90921788,0,Medium,4
WA,May,Arson,14.25855646,2.520094563,48.71867612,0,Teacup,1
MS,Feb,Arson,10.61532033,1.928690808,69.31476323,0,Medium,4
OK,Aug,Lightning,29.82126058,1.482408278,59.11185468,0,Medium,4
TX,Jul,Arson,29.99554235,2.6789526180000003,59.96286877,0,Medium,4
GA,Jul,Arson,24.92259084,1.483306836,68.1152,0,Teacup,1
CA,Jun,Lightning,16.61752988,2.547543161,52.937583,0,Teacup,1
GA,Nov,Debris Burning,15.196844400000002,2.378723404,65.40811456,0,Mini,3
OR,Aug,Lightning,22.16076733,1.983539604,57.96410891,1,Teacup,1
FL,Jun,Lightning,24.82629247,3.12641791,77.57538462,0,Teacup,1
OK,Mar,Arson,9.043062201,4.152694611,64.97232704,0,Teacup,1
MS,Feb,Debris Burning,14.20944444,3.190833333,77.77683957,0,Teacup,1
WV,Feb,Accidental,4.695806861,3.537516171,61.95305164,0,Teacup,1
GA,Nov,Debris Burning,13.616106599999998,0.74438007,76.65686275,0,Teacup,1
AR,Sep,Debris Burning,24.11134146,1.882560976,63.37114673,0,Teacup,1
MN,Apr,Debris Burning,3.815217391000001,4.607041588,64.89091807,0,Teacup,1
MS,Oct,Arson,22.98262967,2.424969697,65.68484848,0,Mini,3
MS,Oct,Debris Burning,19.53093607,2.567353952,69.18653576,0,Teacup,1
GA,Mar,Debris Burning,5.764356436,2.401416431,66.81747270000001,0,Teacup,1
GA,Feb,Debris Burning,5.334489222,1.916572505,67.67627281,0,Teacup,1
MN,Apr,Debris Burning,5.477077364,3.803724928,58.75787966,0,Teacup,1
GA,Jun,Debris Burning,23.12039312,2.47002457,71.33969986,0,Teacup,1
MS,Apr,Arson,12.29340974,3.655444126,64.28447025,0,Teacup,1
AZ,Dec,Debris Burning,13.39597633,2.643198091,27.37470167,0,Teacup,1
