state,discovery_month,fire_cause,Temp_pre_7,Wind_pre_7,Hum_pre_7,putout_time,fire_size_bin,fire_size_bin_no
MS,Aug,Arson,26.72097902,2.1881118880000003,76.81118881,0,Teacup,1
MN,Apr,Debris Burning,4.84040404,2.993737374,50.51214575,0,Teacup,1
AR,Aug,Lightning,32.99244186,1.802906977,53.93604651,0,Mini,3
MS,Mar,Arson,11.4516129,3.566129032,70.44262295,0,Teacup,1
TX,Mar,Debris Burning,13.82056452,1.919758065,63.89430894,0,Teacup,1
CA,Jun,Utilities,16.10176471,1.987647059,46.76470588,0,Toy,2
AZ,Jun,Arson,37.69642857,4.475,15.53571429,0,Teacup,1
WV,Jun,Debris Burning,22.7744856,1.19382716,69.15767635,0,Teacup,1
MN,Apr,Debris Burning,8.36547619,4.410119048,48.08383234,0,Teacup,1
NC,Apr,Debris Burning,17.65148515,2.0873267330000003,73.79826464,0,Medium,4
NM,May,Arson,16.77653631,6.015083799,17.68156425,1,Teacup,1
MT,Aug,Lightning,19.07692308,3.011188811,57.65734266,0,Medium,4
NC,Feb,Utilities,-3.091071429,5.149404762,88.85271318,0,Teacup,1
AZ,Aug,Utilities,22.8974359,4.971052632,36.28947368,0,Teacup,1
TX,Feb,Arson,16.36607143,2.169047619,77.14880952,0,Teacup,1
SC,Apr,Debris Burning,11.82926829,2.691608392,64.03355705,0,Toy,2
AR,Jun,Arson,27.55465116,1.6947674419999998,54.28571429,0,Teacup,1
AZ,Aug,Arson,31.31587302,1.568253968,35.26984127,0,Teacup,1
NV,May,Lightning,15.45341615,4.060248447,22.80124224,1,Medium,4
AL,May,Debris Burning,24.69078341,2.982949309,68.52073733,0,Toy,2
MS,May,Arson,22.4952381,2.085263158,65.83157895,0,Teacup,1
GA,Nov,Debris Burning,17.01192843,2.250497018,68.29273504,0,Teacup,1
MT,Mar,Accidental,0.986868687,3.903045685,58.52284264,0,Toy,2
KY,Apr,Utilities,13.67767857,2.312946429,62.62331839,1,Teacup,1
SC,Oct,Debris Burning,12.84285714,1.879387755,56.66972477,0,Toy,2
FL,Feb,Accidental,15.90178571,3.25952381,78.19642857,0,Mini,3
NC,Feb,Debris Burning,9.27833002,1.681510934,50.80110497,0,Teacup,1
OK,Mar,Arson,4.796407186000001,3.462275449,67.89620758,0,Toy,2
CO,Jul,Lightning,27.89349593,4.998373984,22.63414634,6,Large,5
MN,Apr,Debris Burning,3.882936508,3.222111554,55.70647773,0,Medium,4
MS,Mar,Arson,9.313953488,3.629457364,60.2,0,Teacup,1
MT,Aug,Lightning,20.06464646,2.070618557,45.42268041,31,Large,5
OK,Sep,Arson,25.17821782,3.944554455,53.82376238,0,Mini,3
NM,Jun,Lightning,22.992,4.2264,23.19438878,8,Toy,2
MS,Feb,Arson,11.239,2.991,57.64210526,0,Teacup,1
KS,Sep,Utilities,22.55467197,4.744333996,54.79125249,0,Teacup,1
GA,May,Utilities,26.01785714,2.7450396830000003,62.75925926,0,Toy,2
UT,Aug,Lightning,22.33687151,2.129775281,42.88202247,3,Mini,3
MS,Mar,Debris Burning,10.57738095,2.942261905,60.35151515,0,Teacup,1
NY,Jul,Arson,23.00952381,2.925,65.17261905,36,Teacup,1
AZ,Jul,Lightning,26.3902439,3.704878049,32.63414634,1,Teacup,1
MS,Feb,Utilities,11.62732919,2.024223602,66.62111801,1,Mini,3
CA,Aug,Utilities,25.25,1.9125,55.44578313,0,Medium,4
MN,Apr,Accidental,11.02788845,2.456972112,51.12195122,0,Teacup,1
NC,Jul,Debris Burning,26.0362,1.6626,81.536,0,Teacup,1
ID,Aug,Lightning,26.09821429,4.310119048,27.19642857,0,Teacup,1
NV,Oct,Utilities,7.584868421,1.592763158,60.55033557,0,Mini,3
NC,Apr,Debris Burning,14.32231076,1.379880478,64.32352941,0,Teacup,1
WV,Apr,Arson,9.515546218,1.913865546,71.38709677,0,Teacup,1
TN,Mar,Arson,1.493971631,3.865248227,75.64855072,0,Teacup,1
WV,Apr,Utilities,8.239130435,3.754744526,69.18181818,0,Teacup,1
NM,Jun,Arson,20.76923077,2.930769231,34.30769231,1,Teacup,1
NM,Apr,Lightning,25.93928571,5.4059523810000005,72.20238095,0,Medium,4
MS,Mar,Debris Burning,7.023809524,2.439880952,55.64285714,0,Teacup,1
MN,Apr,Arson,6.0,4.195436508,55.08134921,0,Teacup,1
NY,May,Arson,16.61935484,4.140458015,49.66412214,0,Teacup,1
